name,id,featurehoteltype,address,rating,cost,tag,latitude,longitude,phone,photos,city
舒家酒店(浙一医院店),B023B16BY7,住宿服务;宾馆酒店;宾馆酒店,刀茅巷83号,,,,30.261472,120.18587,,"['http://store.is.autonavi.com/showpic/22df758598d86704bafe23d56d91fab4', 'http://store.is.autonavi.com/showpic/40a6730817248fb163592e5ccfb52188', 'http://store.is.autonavi.com/showpic/cc4fe7fb8572269882083f8286579154']",杭州
布丁严选酒店(杭州庆春广场景芳地铁站店),B023B13OYD,住宿服务;宾馆酒店;宾馆酒店,景芳路173号(景芳地铁站B口步行390米),,,,30.26717,120.204002,,"['http://store.is.autonavi.com/showpic/d9bf02a4d73861928686d641e07eb712', 'http://store.is.autonavi.com/showpic/f82faba65d4c86f9822d7c1610095069', 'http://store.is.autonavi.com/showpic/19fa516d70cec6fe7523f9ff537be156']",杭州
杭州雅冠酒店(杭州火车东站西广场店),B0FFFD3Q19,住宿服务;宾馆酒店;宾馆酒店,新风路288号红街天城2幢1层,,,,30.291845,120.207636,,"['http://store.is.autonavi.com/showpic/d549dbb9388e6f75d97eb230c0d83179', 'http://store.is.autonavi.com/showpic/86fbae5a0cd2063a23cbe6b8d4be9fd0', 'http://store.is.autonavi.com/showpic/a515141ff0e66e6ef1662001fb222b4a']",杭州
杭州三坝酒店(三坝地铁站),B023B14EUU,住宿服务;宾馆酒店;宾馆酒店,竞舟北路145号,,,,30.305728,120.100788,,"['http://store.is.autonavi.com/showpic/275ea72fd8bd6dd9987543f15627903b', 'http://store.is.autonavi.com/showpic/71bf1525f9f3bd79763fb4d6ed4ac703', 'http://store.is.autonavi.com/showpic/d95aea977af23bfeb7c5a72360fe183d']",杭州
怡莱酒店(杭州武林广场店),B0FFHECASO,住宿服务;宾馆酒店;经济型连锁酒店,"体育场路216号田家桥2号,体育场路和中河高架交叉口",,,,30.27078,120.171334,,"['http://store.is.autonavi.com/showpic/164fa51f79c56a264e1e3e3f40c051ab', 'http://store.is.autonavi.com/showpic/da18b36ef55e0c1ace5e37cf35cf5a5d', 'http://store.is.autonavi.com/showpic/54b5ef1f950fa1682ba1bcd1d5a3694e']",杭州
布丁酒店(杭州火车东站艮山西路店),B023B14DR8,住宿服务;宾馆酒店;经济型连锁酒店,艮山西路200号(艮秋立交桥西北侧)距闸弄口新村公交站向东200米工商银行旁,,,,30.27668,120.197168,,"['http://store.is.autonavi.com/showpic/c8a53550815c0c28915998207b91ff24', 'http://store.is.autonavi.com/showpic/dab1e8ab9664f9778469e89ede1cf8ad', 'http://store.is.autonavi.com/showpic/cd54563df229ecf87cfaa4811bdf82d5']",杭州
恒8酒店(萧山机场店),B023B1522B,住宿服务;宾馆酒店;经济型连锁酒店,靖江镇青六路286号(永盛路地铁站E口步行440米),,,,30.239623,120.474358,,"['http://store.is.autonavi.com/showpic/74f59bb5ae1f4a192fc88b03efa3cc53', 'http://store.is.autonavi.com/showpic/81ad8613121cecfe8f47f94803124dd6', 'http://store.is.autonavi.com/showpic/8d1f836c45b081c8b267aa5237783669']",杭州
如家-杭州城北万象城杭行路地铁站店,B0FFGVIJDB,住宿服务;宾馆酒店;经济型连锁酒店,好运路193号,,,,30.348786,120.119064,,"['http://store.is.autonavi.com/showpic/36c5cedf58722f47cd6b9f857f236a68', 'http://store.is.autonavi.com/showpic/ee74a326a7a362fe509489b65731721b', 'http://store.is.autonavi.com/showpic/c7cb521a7980acfe6035f6b73ddfa4d1']",杭州
杭州皇廷酒店,B0FFIPOQYG,住宿服务;宾馆酒店;宾馆酒店,禹航路1080号金顺·锦绣时代11-12层,,,,30.282929,119.940184,,"['http://store.is.autonavi.com/showpic/a8a97283e199dbafa9f267110e7553e7', 'http://store.is.autonavi.com/showpic/80c0533b295d7190cf9d4b242d170d1a', 'http://store.is.autonavi.com/showpic/1982fe09469feda7b035af664cec8f0b']",杭州
布丁酒店(杭州西湖武林夜市店),B023B18984,住宿服务;宾馆酒店;经济型连锁酒店,中山北路171号观巷4号,,,,30.262244,120.168704,,"['http://store.is.autonavi.com/showpic/d84ec3cdb501f654fc6397f388216d06', 'http://store.is.autonavi.com/showpic/bc7ee1f6867cfc9153707e60eeb22fcd', 'http://store.is.autonavi.com/showpic/fb3aea87616673fbb40753f19ef34166']",杭州
